,0
0,Alaska
1,Arizona
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,North Carolina
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
